AlarmName	NodeId	Severity	PlcSymbolPath	Description
TLS_M3_MAL_Alarm_107	ns=2;s=TLS_M3_MAL_Alarm[107]	Medium	GVL.TLS_M3_MAL_Alarm[107]	ALARM, Right trolley, Brush problems
TLS_M3_MAL_Alarm_108	ns=2;s=TLS_M3_MAL_Alarm[108]	Medium	GVL.TLS_M3_MAL_Alarm[108]	Alarm 108
TLS_M3_MAL_Alarm_109	ns=2;s=TLS_M3_MAL_Alarm[109]	Medium	GVL.TLS_M3_MAL_Alarm[109]	Alarm 109
TLS_M3_MAL_Alarm_110	ns=2;s=TLS_M3_MAL_Alarm[110]	Medium	GVL.TLS_M3_MAL_Alarm[110]	Alarm 110
TLS_M3_MAL_Alarm_111	ns=2;s=TLS_M3_MAL_Alarm[111]	Medium	GVL.TLS_M3_MAL_Alarm[111]	Alarm 111
TLS_M3_MAL_Alarm_112	ns=2;s=TLS_M3_MAL_Alarm[112]	Medium	GVL.TLS_M3_MAL_Alarm[112]	Alarm 112
TLS_M3_MAL_Alarm_113	ns=2;s=TLS_M3_MAL_Alarm[113]	Medium	GVL.TLS_M3_MAL_Alarm[113]	Alarm 113
TLS_M3_MAL_Alarm_114	ns=2;s=TLS_M3_MAL_Alarm[114]	Medium	GVL.TLS_M3_MAL_Alarm[114]	Alarm 114
TLS_M3_MAL_Alarm_115	ns=2;s=TLS_M3_MAL_Alarm[115]	Medium	GVL.TLS_M3_MAL_Alarm[115]	Alarm 115
TLS_M3_MAL_Alarm_116	ns=2;s=TLS_M3_MAL_Alarm[116]	Medium	GVL.TLS_M3_MAL_Alarm[116]	Alarm 116
TLS_M3_MAL_Alarm_117	ns=2;s=TLS_M3_MAL_Alarm[117]	Medium	GVL.TLS_M3_MAL_Alarm[117]	Alarm 117
TLS_M3_MAL_Alarm_118	ns=2;s=TLS_M3_MAL_Alarm[118]	Medium	GVL.TLS_M3_MAL_Alarm[118]	Alarm 118
TLS_M3_MAL_Alarm_119	ns=2;s=TLS_M3_MAL_Alarm[119]	Medium	GVL.TLS_M3_MAL_Alarm[119]	Alarm 119
TLS_M3_MAL_Alarm_120	ns=2;s=TLS_M3_MAL_Alarm[120]	Medium	GVL.TLS_M3_MAL_Alarm[120]	Alarm 120
TLS_M3_MAL_Alarm_121	ns=2;s=TLS_M3_MAL_Alarm[121]	Medium	GVL.TLS_M3_MAL_Alarm[121]	Alarm 121
TLS_M3_MAL_Alarm_122	ns=2;s=TLS_M3_MAL_Alarm[122]	Medium	GVL.TLS_M3_MAL_Alarm[122]	Alarm 122
TLS_M3_MAL_Alarm_123	ns=2;s=TLS_M3_MAL_Alarm[123]	Medium	GVL.TLS_M3_MAL_Alarm[123]	Alarm 123
TLS_M3_MAL_Alarm_124	ns=2;s=TLS_M3_MAL_Alarm[124]	Medium	GVL.TLS_M3_MAL_Alarm[124]	Alarm 124
TLS_M3_MAL_Alarm_125	ns=2;s=TLS_M3_MAL_Alarm[125]	Medium	GVL.TLS_M3_MAL_Alarm[125]	Alarm 125
TLS_M3_MAL_Alarm_126	ns=2;s=TLS_M3_MAL_Alarm[126]	Medium	GVL.TLS_M3_MAL_Alarm[126]	Alarm 126
TLS_M3_MAL_Alarm_127	ns=2;s=TLS_M3_MAL_Alarm[127]	Medium	GVL.TLS_M3_MAL_Alarm[127]	Alarm 127
TLS_M3_MAL_Alarm_128	ns=2;s=TLS_M3_MAL_Alarm[128]	Medium	GVL.TLS_M3_MAL_Alarm[128]	Alarm 128
TLS_M3_MAL_Alarm_129	ns=2;s=TLS_M3_MAL_Alarm[129]	Medium	GVL.TLS_M3_MAL_Alarm[129]	Alarm 129
TLS_M3_MAL_Alarm_130	ns=2;s=TLS_M3_MAL_Alarm[130]	Medium	GVL.TLS_M3_MAL_Alarm[130]	ALARM, Left trolley, Alarm horizontal brush tube T100-48
TLS_M3_MAL_Alarm_131	ns=2;s=TLS_M3_MAL_Alarm[131]	Medium	GVL.TLS_M3_MAL_Alarm[131]	ALARM, Left trolley, Vibrate on carr STL
TLS_M3_MAL_Alarm_132	ns=2;s=TLS_M3_MAL_Alarm[132]	Medium	GVL.TLS_M3_MAL_Alarm[132]	ALARM, Left trolley, OBSTACLE(S) on GRIN 01
TLS_M3_MAL_Alarm_133	ns=2;s=TLS_M3_MAL_Alarm[133]	Medium	GVL.TLS_M3_MAL_Alarm[133]	ALARM, Left trolley, OBSTACLE(S) on GRIN 02
TLS_M3_MAL_Alarm_134	ns=2;s=TLS_M3_MAL_Alarm[134]	Medium	GVL.TLS_M3_MAL_Alarm[134]	ALARM, Left trolley, Minimal bay upstream activated
TLS_M3_MAL_Alarm_135	ns=2;s=TLS_M3_MAL_Alarm[135]	Medium	GVL.TLS_M3_MAL_Alarm[135]	ALARM, Left trolley, Horizontal brush not in home position
TLS_M3_MAL_Alarm_136	ns=2;s=TLS_M3_MAL_Alarm[136]	Medium	GVL.TLS_M3_MAL_Alarm[136]	ALARM, Left trolley, Brushes position board faulty
TLS_M3_MAL_Alarm_137	ns=2;s=TLS_M3_MAL_Alarm[137]	Medium	GVL.TLS_M3_MAL_Alarm[137]	ALARM, Left trolley, Brush problems
TLS_M3_MAL_Alarm_138	ns=2;s=TLS_M3_MAL_Alarm[138]	Medium	GVL.TLS_M3_MAL_Alarm[138]	Alarm 138
TLS_M3_MAL_Alarm_139	ns=2;s=TLS_M3_MAL_Alarm[139]	Medium	GVL.TLS_M3_MAL_Alarm[139]	Alarm 139
TLS_M3_MAL_Alarm_140	ns=2;s=TLS_M3_MAL_Alarm[140]	Medium	GVL.TLS_M3_MAL_Alarm[140]	Alarm 140
TLS_M3_MAL_Alarm_141	ns=2;s=TLS_M3_MAL_Alarm[141]	Medium	GVL.TLS_M3_MAL_Alarm[141]	Alarm 141
TLS_M3_MAL_Alarm_142	ns=2;s=TLS_M3_MAL_Alarm[142]	Medium	GVL.TLS_M3_MAL_Alarm[142]	Alarm 142
TLS_M3_MAL_Alarm_143	ns=2;s=TLS_M3_MAL_Alarm[143]	Medium	GVL.TLS_M3_MAL_Alarm[143]	Alarm 143
TLS_M3_MAL_Alarm_144	ns=2;s=TLS_M3_MAL_Alarm[144]	Medium	GVL.TLS_M3_MAL_Alarm[144]	Alarm 144
TLS_M3_MAL_Alarm_145	ns=2;s=TLS_M3_MAL_Alarm[145]	Medium	GVL.TLS_M3_MAL_Alarm[145]	Alarm 145
TLS_M3_MAL_Alarm_146	ns=2;s=TLS_M3_MAL_Alarm[146]	Medium	GVL.TLS_M3_MAL_Alarm[146]	Alarm 146
TLS_M3_MAL_Alarm_147	ns=2;s=TLS_M3_MAL_Alarm[147]	Medium	GVL.TLS_M3_MAL_Alarm[147]	Alarm 147
TLS_M3_MAL_Alarm_148	ns=2;s=TLS_M3_MAL_Alarm[148]	Medium	GVL.TLS_M3_MAL_Alarm[148]	Alarm 148
TLS_M3_MAL_Alarm_149	ns=2;s=TLS_M3_MAL_Alarm[149]	Medium	GVL.TLS_M3_MAL_Alarm[149]	Alarm 149
TLS_M3_MAL_Alarm_150	ns=2;s=TLS_M3_MAL_Alarm[150]	Medium	GVL.TLS_M3_MAL_Alarm[150]	Alarm 150
TLS_M3_MAL_Alarm_151	ns=2;s=TLS_M3_MAL_Alarm[151]	Medium	GVL.TLS_M3_MAL_Alarm[151]	Alarm 151
TLS_M3_MAL_Alarm_152	ns=2;s=TLS_M3_MAL_Alarm[152]	Medium	GVL.TLS_M3_MAL_Alarm[152]	Alarm 152
TLS_M3_MAL_Alarm_153	ns=2;s=TLS_M3_MAL_Alarm[153]	Medium	GVL.TLS_M3_MAL_Alarm[153]	Alarm 153
TLS_M3_MAL_Alarm_154	ns=2;s=TLS_M3_MAL_Alarm[154]	Medium	GVL.TLS_M3_MAL_Alarm[154]	EMERGENCY 1 OUT BUTTON, Main electrical shutoff (MA)
TLS_M3_MAL_Alarm_155	ns=2;s=TLS_M3_MAL_Alarm[155]	Medium	GVL.TLS_M3_MAL_Alarm[155]	EMERGENCY 1 OUT BUTTON, External personnel safety AM
